"","Tritirachiomycetes","Cystobasidiomycetes","other","Malasseziomycetes","Pucciniomycetes","other","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","other","Lecanoromycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Arthoniomycetes","Exobasidiomycetes","Agaricostilbomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0494",0,0,0,39871,0,0,0,0,0,0,18417,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0496",0,0,0,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18508,2
"F0497",0,0,0,18999,0,0,0,21206,0,0,114600,0,0,0,0,0,0,0,0,0,0,14383,32734,5
"F0500",0,0,0,7127,0,0,0,1697,0,0,10548,0,0,0,0,6036,0,0,0,0,0,35335,13664,6
"F0501",0,0,0,0,0,0,0,0,0,0,3511,0,0,0,0,11133,0,0,0,0,0,0,0,2
"F0506",0,0,0,6562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21623,35045,3
"F0507",0,0,0,22073,0,0,0,0,0,0,10487,0,0,0,0,0,18668,0,0,0,0,0,0,3
"F0510",0,0,0,0,0,0,0,0,0,0,1619860,0,0,0,0,0,0,0,0,0,0,20660,0,2
"F0513",0,0,0,0,0,0,0,0,0,0,6308,0,0,0,0,0,0,0,0,0,0,0,12428,2
"F0478",0,0,0,10743,0,0,0,0,0,0,0,0,0,0,0,6126,0,0,0,0,0,0,0,2
"F0514",0,0,0,50449,0,0,15115,2645,0,0,10475,0,0,0,0,2172,0,0,0,0,0,0,0,5
"F0515",0,0,0,8074,0,0,0,24708,0,0,40665,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0516",0,0,0,110030,0,0,0,0,0,0,16455,0,0,0,0,0,0,0,0,0,0,0,61495,3
"F0517",0,0,0,181860,0,0,0,23710,0,0,41490,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0519",0,0,0,0,0,0,0,0,0,0,0,0,17889,0,0,0,0,0,0,0,0,0,0,1
"F0522",0,0,0,32880,0,0,0,0,0,0,32500,0,0,0,0,907120,0,0,0,0,0,0,0,3
"F0479",0,0,0,0,0,0,0,0,0,0,2191,0,43344,0,0,64640,62442,0,0,0,0,0,0,4
"F0525",0,0,0,38400,0,0,0,0,0,0,57005,0,0,0,0,5265,0,0,0,0,0,0,103675,4
"F0538",0,0,0,15261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19138,0,0,0,0,0,0,24131,2
"F0545",0,0,0,3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14586,2
"F0546",0,0,0,33475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18765,69020,3
"F0482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24096,0,0,0,0,0,0,0,1
"F0560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15673,1
"F0563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28161,1
"F0483",0,0,0,0,0,0,0,0,0,0,20531,0,36599,0,0,0,0,0,0,0,0,0,0,2
"F0566",0,0,0,5328,0,0,0,0,0,0,0,0,0,0,0,5594,0,0,0,0,0,0,22461,3
"F0567",0,0,0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8557,2
"F0568",0,0,0,2312,0,0,0,0,0,0,0,0,0,0,0,2566,0,0,0,0,0,0,0,2
"F0569",0,0,0,0,0,0,0,0,0,0,31708,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0580",0,0,0,8841,0,0,0,0,0,0,0,0,0,0,0,45148,0,0,0,0,0,0,0,2
"F0770",0,0,0,64815,0,0,0,0,0,0,0,0,0,0,0,10010,0,0,0,0,0,0,0,2
"F0581",0,0,0,0,0,0,0,197440,0,0,10170,0,0,0,0,8890,0,0,0,0,0,0,63715,4
"F0777",0,0,0,8626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22919,2
"F0781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264,1
"F0582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,0,0,0,0,3644,2
"F0786",0,0,0,26890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0790",0,0,0,0,0,0,44330,0,0,0,12050,0,1037300,0,0,0,0,0,0,0,0,0,0,3
"F0794",0,0,33280,0,0,0,0,2651900,0,0,0,0,139040,0,0,0,0,0,0,0,0,0,902140,4
"F0800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934340,0,0,0,0,0,0,0,1
"F0809",0,0,0,10420,0,0,0,0,0,0,0,0,0,0,0,0,51700,0,0,0,0,0,821420,3
"F0811",0,0,0,7057,0,0,0,0,0,0,0,0,0,0,0,164172,0,0,0,0,0,0,0,2
"F0812",0,0,0,4946,0,0,0,0,0,0,0,0,0,4020,0,0,0,0,0,0,0,0,0,2
"F0813",0,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,29873,0,0,0,0,0,0,0,2
"F0817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106591,0,0,0,0,0,0,0,1
"F0818",0,0,0,16132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0586",0,0,0,0,0,0,0,0,0,0,605580,0,0,0,0,0,0,0,0,0,0,0,537020,2
"F0826",0,0,21320,0,0,0,0,0,0,0,0,0,0,58660,0,0,361400,0,0,0,0,224840,53220,5
"F0827",0,0,0,0,0,0,0,0,0,0,0,0,76580,0,0,0,0,0,0,0,0,0,981220,2
"F0829",0,0,0,0,0,0,0,0,0,229440,0,0,23230,23010,0,70240,0,0,0,0,0,0,0,4
"F0830",0,0,0,22879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0832",0,0,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0833",0,0,0,0,0,0,0,10249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63460,136495,2
"F0837",0,0,0,0,0,0,0,0,0,0,1259,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0839",0,0,0,14667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37995,2
"F0840",0,0,0,0,0,0,0,0,0,0,1447960,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0841",0,0,0,10135,0,0,0,196040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0845",0,0,0,0,0,0,0,0,0,0,220470,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364665,0,0,0,0,0,0,0,1
"F0850",0,0,0,0,0,0,0,196585,0,0,5170,0,0,0,0,0,0,0,0,0,0,0,42910,3
"F0851",0,0,0,22990,0,0,0,0,0,0,0,0,95080,0,0,0,0,0,0,0,0,0,0,2
"F0854",0,0,0,22049,0,0,0,0,0,0,0,0,0,0,0,57407,0,0,0,0,0,0,0,2
"F0856",0,0,0,0,0,0,0,0,0,0,68702,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0858",0,0,0,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164622,1
"F0671",0,0,0,15729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0672",0,0,0,340860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0673",0,0,0,91170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300490,1
"F0675",0,0,0,44133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67852,0,1
"F0681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49584,1
"F0683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34860,1
"F0689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82379,0,0,0,0,0,0,0,1
"F0698",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340735,0,0,0,0,0,0,0,1
"F0699",0,0,0,125845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0701",0,0,0,0,0,0,0,0,0,0,0,0,4096360,0,0,0,0,0,0,0,0,0,0,1
"F0716",0,0,0,0,0,0,0,0,0,0,16780,0,0,0,0,26130,108190,0,0,0,0,76290,257040,5
"F0726",0,0,0,0,0,0,0,0,0,0,26727,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41422,0,0,0,0,0,0,0,1
"F0733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58493,25700,0,0,0,0,0,0,2
"F0735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20223,0,0,0,0,0,0,0,1
"F0737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22502,0,0,0,0,0,0,0,1
"F0740",0,0,0,12393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571020,0,0,0,0,0,0,0,1
"F0755",0,0,0,33060,0,0,0,0,0,0,0,0,224260,0,0,0,0,0,0,0,0,0,0,2
"F0602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83122,20318,2
"F0605",0,8708,0,0,0,0,0,5815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9758,3
"F0607",0,8143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7920,0,0,47158,3
"F0608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17145,14683,23356,3
"F0609",0,0,0,3488,0,0,0,0,0,0,0,0,0,0,0,28816,0,0,0,0,0,26722,126386,4
"F0574",0,0,0,5300,0,0,0,0,0,0,19390,0,0,0,0,356800,0,0,0,0,0,0,0,3
"F0612",0,0,0,0,0,0,0,0,0,0,13934,0,0,0,0,8227,16640,0,0,0,0,21861,21591,5
"F0613",0,10972,0,0,0,0,0,0,0,4310,40443,0,0,0,0,0,4763,0,0,0,0,0,69300,5
"F0616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56915,0,0,0,0,33530,474040,3
